time,gFx,gFy,gFz,TgF
0.950258072,-0.0645,-0.0503,1.0063,1.010
0.952269531,-0.0582,-0.0449,1.0000,1.003
0.953037291,-0.0479,-0.0449,1.0034,1.006
0.953653697,-0.0435,-0.0449,1.0010,1.003
0.957826041,-0.0386,-0.0391,0.9990,1.001
0.958438645,-0.0386,-0.0366,0.9946,0.996
0.961541302,-0.0303,-0.0347,0.9922,0.993
0.964665781,-0.0225,-0.0342,0.9902,0.991
0.965445729,-0.0215,-0.0269,0.9878,0.988
0.969610052,-0.0283,-0.0259,0.9858,0.987
0.970454791,-0.0396,-0.0225,0.9775,0.979
0.973864843,-0.0454,-0.0215,0.9765,0.978
0.97452625,-0.0498,-0.0278,0.9741,0.976
0.984174166,-0.0538,-0.0308,0.9741,0.976
0.984855052,-0.0488,-0.0474,0.9717,0.974
0.985108593,-0.0483,-0.0400,0.9844,0.986
0.985288072,-0.0400,-0.0352,0.9785,0.980
0.987281458,-0.0366,-0.0337,0.9785,0.980
0.992632916,-0.0327,-0.0352,0.9761,0.977
0.992995677,-0.0249,-0.0337,0.9790,0.980
0.997623593,-0.0171,-0.0298,0.9829,0.983
0.998283125,-0.0142,-0.0332,0.9785,0.979
1.002291145,-0.0063,-0.0352,0.9819,0.983
1.00271901,-0.0059,-0.0327,0.9863,0.987
1.006437708,0.0010,-0.0332,0.9912,0.992
1.00737901,0.0024,-0.0322,0.9961,0.997
1.011564843,0.0034,-0.0332,0.9995,1.000
1.014715416,0.0093,-0.0352,1.0029,1.004
1.015148385,0.0054,-0.0396,1.0039,1.005
1.020127604,-0.0020,-0.0381,1.0034,1.004
1.020919791,-0.0142,-0.0420,1.0068,1.008
1.024509322,-0.0249,-0.0479,1.0093,1.011
1.024955312,-0.0391,-0.0479,1.0068,1.009
1.029817187,-0.0527,-0.0498,1.0054,1.008
1.030726927,-0.0601,-0.0566,1.0127,1.016
1.033790677,-0.0640,-0.0537,1.0132,1.017
1.039889166,-0.0557,-0.0645,1.0200,1.024
1.040746927,-0.0283,-0.0737,1.0283,1.031
1.044338281,-0.0464,-0.0679,1.0171,1.020
1.045116614,-0.0626,-0.0566,1.0122,1.016
1.047499895,-0.0655,-0.0557,1.0107,1.014
1.049309166,-0.0616,-0.0532,1.0088,1.012
1.054155052,-0.0523,-0.0601,1.0054,1.008
1.054865364,-0.0396,-0.0625,1.0097,1.012
1.058361145,-0.0288,-0.0630,1.0088,1.011
1.059566614,-0.0176,-0.0649,1.0078,1.010
1.060421302,-0.0063,-0.0640,1.0039,1.006
1.064700677,0.0029,-0.0645,1.0068,1.009
1.065605729,0.0112,-0.0625,1.0083,1.010
1.07099776,0.0151,-0.0586,1.0122,1.014
1.071748958,0.0176,-0.0581,1.0127,1.014
1.073351874,0.0176,-0.0571,1.0180,1.020
1.073704374,0.0210,-0.0562,1.0180,1.020
1.080031354,0.0151,-0.0547,1.0156,1.017
1.084033645,0.0190,-0.0552,1.0151,1.017
1.084589583,0.0474,-0.0669,1.0200,1.023
1.095523854,0.0249,-0.0654,1.0083,1.011
1.096559635,0.0088,-0.0537,1.0049,1.006
1.096896874,0.0171,-0.0596,1.0044,1.006
1.097110416,-0.0010,-0.0586,0.9966,0.998
1.098456354,-0.0083,-0.0479,0.9966,0.998
1.098664895,-0.0078,-0.0469,0.9902,0.991
1.10504302,-0.0166,-0.0410,0.9912,0.992
1.10574151,-0.0215,-0.0420,0.9887,0.990
1.106040572,-0.0176,-0.0439,0.9951,0.996
1.113420156,-0.0239,-0.0400,0.9917,0.993
1.114388802,-0.0186,-0.0391,0.9956,0.997
1.11595052,-0.0215,-0.0356,0.9956,0.996
1.11725927,-0.0244,-0.0327,0.9961,0.997
1.121832291,-0.0146,-0.0327,1.0014,1.002
1.122765052,-0.0059,-0.0347,1.0010,1.002
1.12623276,-0.0059,-0.0371,1.0054,1.006
1.12674677,-0.0024,-0.0332,1.0073,1.008
1.130982447,0.0112,-0.0317,1.0083,1.009
1.133266666,0.0156,-0.0322,1.0097,1.010
1.133712239,0.0195,-0.0317,1.0112,1.012
1.139321614,0.0254,-0.0332,1.0107,1.012
1.140521041,0.0332,-0.0347,1.0058,1.007
1.143176197,0.0342,-0.0342,1.0010,1.002
1.143801197,0.0313,-0.0376,0.9975,0.999
1.146977031,0.0366,-0.0386,0.9927,0.994
1.147966302,0.0376,-0.0439,0.9863,0.988
1.151562864,0.0430,-0.0444,0.9844,0.986
1.155937083,0.0430,-0.0420,0.9765,0.978
1.156899062,0.0396,-0.0464,0.9687,0.971
1.167503333,0.0352,-0.0474,0.9648,0.967
1.16826552,0.0337,-0.0498,0.9604,0.962
1.168508593,0.0381,-0.0508,0.9585,0.961
1.168711197,0.0298,-0.0542,0.9506,0.953
1.169945937,0.0230,-0.0601,0.9472,0.949
1.170126562,0.0176,-0.0625,0.9575,0.960
1.174831145,0.0103,-0.0640,0.9580,0.960
1.188102135,0.0005,-0.0698,0.9687,0.971
1.188852031,-0.0078,-0.0772,0.9756,0.979
1.189099374,-0.0132,-0.0840,0.9917,0.995
1.189284114,-0.0190,-0.0840,1.0005,1.004
1.19056552,-0.0230,-0.0889,1.0146,1.019
1.190804687,-0.0288,-0.0947,1.0171,1.022
1.193959166,-0.0317,-0.0972,1.0249,1.030
1.194266718,-0.0386,-0.0986,1.0337,1.039
1.19677901,-0.0420,-0.1060,1.0361,1.042
1.197250624,-0.0479,-0.1011,1.0361,1.042
1.200719114,-0.0527,-0.1035,1.0381,1.045
1.205524218,-0.0572,-0.1055,1.0386,1.045
1.20597026,-0.0621,-0.1075,1.0366,1.044
1.211230677,-0.0631,-0.1035,1.0342,1.041
1.212583437,-0.0728,-0.1011,1.0268,1.034
1.217179583,-0.0762,-0.0996,1.0244,1.032
1.217309374,-0.0801,-0.0933,1.0185,1.026
1.218545468,-0.0772,-0.0908,1.0102,1.017
1.21888026,-0.0831,-0.0855,1.0073,1.014
1.223508697,-0.0899,-0.0806,1.0034,1.011
1.228371822,-0.0836,-0.0723,1.0029,1.009
1.229124427,-0.0826,-0.0718,1.0005,1.006
1.234788333,-0.0743,-0.0669,0.9961,1.001
1.235263385,-0.0753,-0.0659,0.9951,1.000
1.238512395,-0.0684,-0.0635,0.9966,1.001
1.239328177,-0.0635,-0.0576,0.9985,1.002
1.242660885,-0.0616,-0.0562,0.9995,1.003
1.243132968,-0.0533,-0.0513,0.9980,1.001
1.247091093,-0.0513,-0.0449,1.0005,1.003
1.25096427,-0.0513,-0.0415,0.9990,1.001
1.251919531,-0.0464,-0.0410,0.9995,1.001
1.255554322,-0.0396,-0.0347,0.9956,0.997
1.256219218,-0.0405,-0.0376,0.9946,0.996
1.262255208,-0.0410,-0.0332,0.9941,0.996
1.263420468,-0.0376,-0.0293,0.9931,0.994
1.267063124,-0.0347,-0.0234,0.9927,0.994
1.268681562,-0.0332,-0.0278,0.9907,0.992
1.269029114,-0.0313,-0.0234,0.9897,0.990
1.278985885,-0.0332,-0.0234,0.9897,0.991
1.279764843,-0.0254,-0.0259,0.9834,0.984
1.280069114,-0.0200,-0.0171,0.9829,0.983
1.280328489,-0.0161,-0.0249,0.9824,0.983
1.283765156,-0.0117,-0.0269,0.9780,0.978
1.28421552,-0.0112,-0.0273,0.9814,0.982
1.288158333,-0.0088,-0.0322,0.9824,0.983
1.288958645,-0.0039,-0.0313,0.9800,0.980
1.296582864,-0.0020,-0.0347,0.9819,0.983
1.297414531,0.0010,-0.0396,0.9834,0.984
